field,value
schema_version,0.3
reviewer_name,Gavin Farrell
reviewer_initials,GF
reviewer_orcid,0000-0000-0000-0000
reviewer_affiliation,University of Padova; EMBL-EBI
review_date,2026-05-25
dataset_name,DOME Copilot - Data Files (V1)
dataset_url,https://zenodo.org/records/18973687
dataset_accession,zenodo.18973687
hosting_resource,Zenodo
process_comments,"Review conducted against AIRBDS Metric v0.3 using the GF personal skill (skills/GF/GF-airbds-assessment-skill/SKILL.md). Assessment based on publicly visible Zenodo record metadata at https://zenodo.org/records/18973687.
"
weighted_score,698
grade,Bronze

question_id,scope,theme,weight,question,guidance,answer,not_applicable,comments
ACM-18,Content,Quality,Important,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,Yes,FALSE,"Records are indexed by PubMed Central IDs (PMCIDs); identifier-based organisation makes duplicates structurally unlikely, and none are indicated."
ACM-19,Content,Quality,Important,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",Yes,FALSE,"The metadata CSV maps PMCIDs to datasets; cohort sizes (258 human-annotated, 1,012 AI-generated, 30 evaluation subset) are stated and the archive appears complete as described.
"
ACM-20,Content,Format,Critical,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",Yes,FALSE,Data uses the DOME Registry JSON schema consistently across all entries; structured JSON enforces type and naming consistency.
ACM-21,Content,Standards,Important,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,Yes,FALSE,DOME Registry is the domain standard for machine learning experiment metadata in bioscience; the dataset follows this standard.
ACM-22,Content,Format,Optional,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",Yes,FALSE,"JSON for structured metadata, CSV for the index file, and PDF for full texts are all appropriate formats for their respective content types."
ACM-23,Content,Format,Optional,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,Yes,FALSE,"JSON, CSV, and PDF are all open, non-proprietary formats readable without commercial software."
ACM-24,Ethics,Ethics,Critical,"If the dataset contains data from animal or human subjects, does the dataset include an ethical assessment that covers acquisition?","This includes consent, sampling methods, regulatory compliance, and funding sources. The acquisition should be described using an appropriate framework, like the Belmont, Menlo, or CARE principles, sufficient for its proper evaluation in context of intended use. If the dataset contains no human or animal data,  mark the question ""Yes"".",Yes,TRUE,"Dataset contains scientific publication metadata from PubMed Central, not data from human or animal subjects; ethics question not applicable."
ACM-25,Ethics,Privacy,Critical,"If the dataset contains data from human subjects, does the dataset preserve the privacy of subjects?","The risk of reidentification when the data is used to train AI should also be considered. If the dataset contains no human data, mark the question ""Yes"".",Yes,TRUE,No human subjects in this dataset; privacy question not applicable.
ACM-26,Ethics,Ethics,Important,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Yes,TRUE,No human subjects in this dataset; data management ethics question not applicable.
ACM-27,Ethics,Security,Important,"If the dataset contains data from human subjects, does the dataset have the necessary authentication and access controls?","The appropriate level of access security depends on the dataset. If the dataset contains no human data, mark the question ""Yes"".",Yes,TRUE,No human subjects in this dataset; access control ethics question not applicable.
ACM-28,Ethics,Metadata,Optional,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Yes,TRUE,No human subjects in this dataset; data protection declaration question not applicable.
