field,value
schema_version,0.5
reviewer_name,
reviewer_initials,
reviewer_orcid,
reviewer_affiliation,
review_date,
dataset_name,
dataset_url,
dataset_accession,
hosting_resource,
process_comments,

question_id,scope,weight,question,guidance,answer,not_applicable,comments
ABC-11,Metadata,Critical,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",,FALSE,
ABC-12,Metadata,Critical,Does the downloadable metadata include the identifier of the dataset?,"Mark ""Yes"" if the dataset has a unique identifier that appears in the metadata that travels with the data – i.e. in a downloadable or packaged metadata record, embedded in the data files themselves, or included in the API response – so that a detached copy of the dataset remains identifiable. An identifier shown only on the repository landing page, and not included in any downloadable metadata or in the data itself, is ""No"". A URL does not qualify as a unique identifier.",,FALSE,
ABC-13,Metadata,Optional,Does the metadata document the modalities used?,"Mark ""Yes"" only if the metadata explicitly describes the modalities, e.g. ""RNA-seq"", ""mass spectrum"", ""microscopy image"". A modality merely implied by file format, repository, or the accompanying article does not count. For multimodal datasets, every modality present must be documented.",,FALSE,
ABC-14,Metadata,Important,Are transformation and preprocessing steps documented well enough to reproduce them?,"Mark ""Yes"" if the data is raw and unprocessed and this is clearly stated, or if the steps are documented in enough detail to reproduce them, either as runnable code in a repository, or a step-by-step written description including the tools and parameters used. A high-level mention without specifics (e.g. ""data were normalised""), or no mention at all, should be marked ""No"".",,FALSE,
ABC-15,Metadata,Critical,Is the provenance of the dataset clearly documented?,"Provenance means the origin and history of the data. Check for: (1) who generated or collected it; (2) how it was produced (measured, simulated, or derived) and processed. Mark ""Yes"" if both are documented. Mark ""No"" if the origin or production method is absent.",,FALSE,
ABC-16,Metadata,Important,Is the dataset's sampling strategy or inclusion criteria documented in the metadata?,"A user should be able to assess potential biases in the dataset. Mark ""Yes"" if the metadata describes both (1) the population or source sampled from (e.g. the organisms, tissues, cell lines, sites, molecules, or records), and (2) how the specific samples were selected from it (e.g. selection criteria, randomisation, or exhaustive collection). A bare statement of what the data are, without describing how they were selected, is ""No"". A description found only in an accompanying research article does not count. Mark ""No"" if the sampling strategy is not described in the metadata.",,FALSE,
ABC-17,Content,Important,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,,FALSE,
ABC-18,Content,Important,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, or the metadata does not specify what files and records should be expected, mark this question ""No"".",,FALSE,
ABC-19,Content,Critical,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",,FALSE,
ABC-20,Content,Important,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,,FALSE,
ABC-21,Content,Optional,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",,FALSE,
ABC-22,Content,Optional,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,,FALSE,
ABC-23,Ethics,Critical,"If the dataset contains data from animal or human subjects, is an ethical assessment that covers acquisition present in the metadata or a linked clinical trial record?","If the dataset contains no human or animal data, mark ""Yes"". For datasets with human or animal subjects, mark ""Yes"" if the metadata (or a clearly linked, registered clinical-trial or ethics record) documents that the data acquisition underwent ethical review from an ethics committee or IRB. A statement found only in an accompanying journal article does not count. Mark ""No"" if no such documentation is present.",,FALSE,
ABC-24,Ethics,Critical,"If the dataset contains data from human subjects, is data management with respect to privacy documented in the metadata or a linked clinical trial record?","If the dataset contains no human data, mark ""Yes"". For datasets with human subjects, mark ""Yes"" if the metadata (or a clearly linked, registered clinical-trial or ethics record) states the data's de-identification or privacy status – e.g. ""anonymised"", ""de-identified"", ""limited data set"", ""non-PHI"". Mark ""No"" if no de-identification or privacy-handling status is stated.",,FALSE,
ABC-25,Ethics,Critical,"If the dataset contains data from human subjects, is the legal basis for data collection and processing documented in the metadata or a linked clinical trial record?","Mark ""Yes"" if the metadata (or a clearly linked, registered clinical-trial or ethics record) documents the legal basis for collecting and processing the data – e.g. informed consent, or another lawful basis under the applicable regime such as GDPR or HIPAA. If the dataset contains no human data, mark the question ""Yes"". If there is no record of consent and no mention of legal basis, mark this question ""No"".",,FALSE,
