question_id,scope,theme,weight,weight_points,mapped_from,question,guidance,not_applicable_default
ACM-19,Content,Quality,Important,5,AIDRIN-1.a,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",
ACM-20,Content,Format,Critical,80,ESIP-2.12 / MG-91,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",
ACM-21,Content,Standards,Important,5,MG-20,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,
ACM-22,Content,Format,Optional,2,MG-164,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",
ACM-23,Content,Format,Optional,2,ESIP-4.3,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,
ACM-24,Ethics,Ethics,Critical,80,MG-10,"If the dataset contains data from animal or human subjects, does the dataset include an ethical assessment that covers acquisition?","This includes consent, sampling methods, regulatory compliance, and funding sources. The acquisition should be described using an appropriate framework, like the Belmont, Menlo, or CARE principles, sufficient for its proper evaluation in context of intended use. If the dataset contains no human or animal data, mark the question ""Yes"".",Yes
ACM-25,Ethics,Privacy,Critical,80,MG-6,"If the dataset contains data from human subjects, does the dataset preserve the privacy of subjects?","The risk of reidentification when the data is used to train AI should also be considered. If the dataset contains no human data, mark the question ""Yes"".",Yes
ACM-26,Ethics,Ethics,Important,5,Bridge2AI-4.b,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Yes
ACM-27,Ethics,Security,Important,5,MG-1,"If the dataset contains data from human subjects, does the dataset have the necessary authentication and access controls?","The appropriate level of access security depends on the dataset. If the dataset contains no human data, mark the question ""Yes"".",Yes
ACM-28,Ethics,Metadata,Optional,2,ODI-2.e.iii,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Yes
