Q ID,Mapped from,Theme,Scope,Scope sort,Question,Notes,Grade,Answer,Weighted score,Comments
ACM-26,Bridge2AI-4.b,Ethics,Ethics,4,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Important,,,
ACM-27,MG-1,Security,Ethics,4,"If the dataset contains data from human subjects, does the dataset have the necessary authentication and access controls?","The appropriate level of access security depends on the dataset. If the dataset contains no human data, mark the question ""Yes"".",Important,,,
ACM-28,ODI-2.e.iii,Metadata,Ethics,4,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Optional,,,
,,,,,,,,,,
,,,,,,,,TOTAL,539,
,,,,,,,,Grade,In progress,
,,,,,,,,,,
,,,,,,,,,Out of,
,,,,,,,Optional,7,8,
,,,,,,,Important,9,12,
,,,,,,,Critical,6,8,
