Q ID,Scope,Question,Notes,Grade,Answer,Weighted score,Comments
ABC-11,Metadata,"Does the dataset use a machine-readable, domain-appropriate metadata standard?","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",Critical,Yes,80,
ABC-12,Metadata,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unique identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",Critical,Yes,80,Payload links to unique identifier and DOI
ABC-13,Metadata,Does the metadata specify intended access controls?,"e.g. ""public"", ""controlled access only"", etc. If the data is publically available with no limitations on use, this should be specified.",Optional,Yes,2,
ABC-14,Metadata,Does the metadata document the modalities used?,"e.g. RNA sequence, molecular structure, spectrum, image",Optional,Yes,2,
ABC-15,Metadata,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",Important,Yes,5,Data harmonization pipelines documented docs.aireadi.org and GIthub
ABC-16,Metadata,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it's been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",Critical,Yes,80,"The collection timeframe, 2280 participant cohort makeup, and data origins are thoroughly detailed."
ABC-17,Metadata,Is consideration of bias documented in the metadata?,An accompanying research article does not form part of the metadata.,Important,Yes,5,Dupe of MG-98? | Designed to be agnostic to existing classification criteria or biases
ABC-18,Content,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,Important,Yes,5,OMOP CDM enforces strict person_id primary key
ABC-19,Content,Does the dataset include all expected records and content?,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",Important,Yes,5,3.0 is fully intended multimodal spread
ABC-20,Content,"Are units, data types and parameter names consistent between entries?","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",Critical,Yes,80,"Formatting strictly adheres to standard mapping models to ensure rigorous consistency across variables.
"
ABC-21,Content,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,Important,Yes,5,"Maps to SNOMED, LOINC, RxNorm"
ABC-22,Content,Does the data use an appropriate file format?,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",Optional,Yes,2,
ABC-23,Content,"Is the data available in at least one open, non-proprietary format?",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,Optional,Yes,2,
ABC-24,Ethics,"If the dataset contains data from animal or human subjects, does the dataset include an ethical assessment that covers acquisition?","This includes consent, sampling methods, regulatory compliance, and funding sources. The acquisition should be described using an appropriate framework, like the Belmont, Menlo, or CARE principles, sufficient for its proper evaluation in context of intended use. If the dataset contains no human or animal data, mark the question ""Yes"".",Critical,Yes,80,
ABC-25,Ethics,"If the dataset contains data from human subjects, does the dataset preserve the privacy of  subjects?","The risk of reidentification when the data is used to train AI should also be considered. If the dataset contains no human data, mark the question ""Yes"".",Critical,Yes,80,
ABC-26,Ethics,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Important,Yes,5,
ABC-27,Ethics,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Optional,Yes,2,
,,,,,,,
,,,,,TOTAL,706,
,,,,,Grade,Gold,
,,,,,,,
,,,,,Yes count,Out of,
,,,,Optional,8,8,
,,,,Important,10,11,
,,,,Critical,8,8,
